age,gender,height,current_weight,target_weight,activity_level,sports_days,sleep_hours,Avg_Caloric_Intake,water_intake,night_eating,stress_level,commitment,motivation,success
56,0,173,77,72,2,3,8.4,1790,2.7,1,7,8,4,1
46,0,194,114,103,2,2,6.9,2827,3.8,0,1,5,10,1
32,1,188,123,106,4,5,6.2,3796,3.2,1,9,7,2,0
60,1,184,120,98,3,1,7.3,3593,4.0,0,1,7,9,1
25,1,189,94,89,3,3,5.9,2943,1.7,1,9,10,9,1
38,1,180,118,103,2,3,7.8,3258,4.2,0,1,6,10,1
56,0,188,121,104,1,1,7.9,3353,4.0,0,1,5,4,0
36,1,165,106,82,4,5,6.9,3588,4.0,1,8,2,2,0
40,0,158,72,59,1,1,6.6,1552,1.9,1,1,3,3,1
28,0,179,91,71,2,1,6.7,2737,2.3,1,8,3,8,0
28,1,172,114,99,3,2,7.4,2984,4.4,0,3,5,8,1
41,0,172,109,102,2,1,7.7,3215,4.4,0,4,2,7,1
53,0,176,119,98,4,5,7.3,3684,2.2,0,2,1,4,1
57,0,169,109,103,4,6,8.4,3562,2.8,1,6,4,1,0
41,0,180,86,73,2,3,6.7,2532,2.0,1,7,10,10,1
20,1,156,72,59,1,1,5.8,2064,2.3,0,10,3,9,1
39,1,193,110,90,2,3,7.4,2946,2.1,1,3,3,7,0
19,0,191,150,145,2,2,5.5,3705,1.7,0,9,10,1,0
41,1,192,123,102,1,0,8.5,2865,3.2,1,3,6,5,0
61,0,169,77,63,1,0,6.9,1619,2.2,1,7,9,3,1
47,1,176,92,68,1,1,7.5,2055,4.5,1,4,10,2,1
55,1,193,148,139,1,0,6.9,3373,3.0,1,5,10,3,0
19,1,191,143,131,3,1,6.2,3981,2.6,0,9,2,6,0
38,1,186,140,123,4,5,7.3,4100,4.2,1,3,5,7,1
50,1,171,92,83,3,1,8.3,2829,3.4,1,3,2,10,0
29,0,177,113,105,2,2,7.1,2889,1.9,0,9,6,9,0
39,1,186,103,91,1,1,5.5,2398,3.0,1,9,1,10,0
61,0,165,77,66,4,5,7.0,2668,2.8,0,4,1,7,1
42,0,180,82,73,1,1,7.5,2109,3.8,1,1,9,1,1
44,1,188,101,87,1,1,7.9,2552,3.6,0,1,10,7,1
59,0,183,118,97,3,3,5.8,3403,2.6,0,9,5,1,0
45,1,174,122,112,2,2,8.1,3222,2.9,0,6,9,8,1
33,0,178,86,72,2,2,6.6,2312,3.1,0,5,8,2,0
32,0,194,153,133,2,1,7.0,4072,2.8,1,10,9,2,0
64,1,179,99,85,1,1,7.5,2027,1.8,1,3,9,1,1
61,1,186,112,104,4,5,8.0,3177,4.2,0,3,8,9,1
20,1,184,105,99,3,3,8.4,2889,3.5,0,2,3,8,1
54,1,183,107,102,1,0,8.0,2746,2.9,0,7,7,9,1
24,0,183,99,92,1,0,6.1,1997,3.2,1,9,4,8,1
38,1,173,110,93,3,2,7.9,3457,2.1,0,6,8,4,1
26,0,173,114,98,2,1,5.9,2985,3.1,1,10,7,9,0
56,0,173,117,112,3,2,7.8,3704,3.7,0,1,9,8,1
35,0,156,75,61,1,1,7.9,1757,3.1,1,6,8,1,1
21,0,164,103,93,4,4,6.0,3374,2.9,1,8,3,10,0
42,0,161,93,80,1,1,7.3,2670,2.9,0,8,5,5,0
31,0,190,149,144,3,1,6.8,4165,3.8,0,10,3,9,0
26,1,165,88,72,3,1,7.1,2598,3.8,0,3,9,8,1
43,0,160,107,98,3,1,6.7,2777,3.8,1,1,1,1,0
19,0,159,95,90,2,1,7.1,2688,2.2,0,5,7,6,1
37,0,182,127,121,2,1,7.0,3580,3.4,0,6,9,6,1
45,1,155,61,43,3,3,6.9,1821,3.8,0,10,3,2,0
64,1,173,101,95,4,6,7.3,3086,3.2,0,9,7,2,1
24,0,159,86,77,3,3,8.0,2707,3.8,0,2,7,1,0
61,1,188,91,77,1,1,8.2,1949,4.1,0,1,2,6,1
25,0,193,113,89,3,3,8.4,2895,2.0,1,7,5,9,1
64,1,193,154,144,2,1,7.9,3629,2.4,1,2,10,8,1
52,0,172,96,87,3,1,7.6,2698,3.3,0,2,7,5,1
31,1,180,92,86,3,1,7.7,2511,2.4,1,3,2,8,1
34,1,178,108,95,3,2,8.3,3152,4.3,1,4,10,2,0
53,1,169,73,59,1,1,8.0,1884,2.1,1,7,10,6,1
57,0,172,100,88,2,3,6.9,2654,2.6,0,1,2,2,0
21,0,157,87,77,4,5,6.8,2847,4.5,0,6,6,8,1
19,0,186,108,99,3,1,6.8,2780,2.1,0,7,2,2,0
23,1,164,102,80,1,1,8.4,2621,2.8,0,3,10,5,1
59,1,173,82,58,3,1,7.3,2224,2.4,0,3,1,7,0
21,0,174,121,99,2,2,8.1,2961,3.9,1,2,3,7,0
46,1,177,129,123,1,1,7.6,3014,2.4,1,5,1,4,0
35,0,187,88,72,1,1,7.4,1972,2.0,0,7,6,8,1
43,0,182,131,119,1,1,7.2,2917,4.3,0,3,4,7,0
61,0,181,110,102,2,2,7.1,3249,2.5,1,7,2,10,0
51,0,176,101,77,4,4,6.6,3283,3.7,0,8,7,5,1
27,1,158,73,65,3,2,7.2,2095,2.4,0,3,7,4,0
53,1,171,95,82,1,0,7.7,2199,2.0,1,1,8,2,1
31,1,193,153,140,2,1,6.7,3759,3.9,0,3,7,2,0
48,0,194,108,92,1,0,7.7,2786,1.7,1,6,1,4,0
32,1,184,95,77,4,5,6.5,3151,2.5,0,1,3,8,1
25,0,164,78,71,1,1,6.8,1905,3.8,1,9,1,6,1
31,0,159,87,77,1,0,8.2,2531,3.0,0,3,2,9,1
40,0,171,120,101,4,6,7.8,3663,3.6,0,3,1,2,1
57,0,189,124,101,2,2,8.4,3186,1.7,0,7,9,7,1
38,0,183,98,90,2,1,7.6,2426,3.7,1,7,7,1,1
33,0,190,117,112,3,1,7.9,3394,2.0,0,6,9,2,1
62,1,179,102,89,1,1,7.3,1839,3.9,0,7,8,9,1
35,1,160,66,46,3,1,7.5,1873,3.2,0,5,10,8,1
64,1,159,85,72,3,1,7.0,2909,3.7,0,8,2,9,0
41,1,156,66,50,1,0,6.5,1256,2.1,1,10,1,7,1
43,0,177,124,106,1,1,6.8,2797,2.7,0,2,5,10,0
42,0,164,93,74,4,5,7.9,2651,3.9,0,5,7,9,1
62,1,184,133,113,3,1,6.7,3599,4.2,0,9,2,4,0
58,1,182,137,125,1,0,8.1,3713,2.2,0,4,4,3,0
46,1,167,115,101,4,6,5.7,3973,3.9,0,8,7,4,0
32,1,162,70,52,1,1,8.4,1596,1.8,0,3,9,5,1
62,1,159,103,82,3,1,8.0,3307,2.8,0,6,6,10,1
18,1,184,131,124,1,1,5.6,3246,4.3,0,8,7,4,0
42,1,173,114,106,1,1,6.3,2518,4.3,1,9,8,4,0
24,1,167,74,54,2,2,6.5,2241,2.4,1,7,8,7,0
26,0,189,100,82,4,6,7.7,2750,2.1,1,6,9,4,1
41,0,178,132,114,1,0,7.9,3218,1.9,0,6,10,4,1
18,0,175,88,68,2,3,8.4,2308,2.9,0,6,2,9,1
61,0,184,95,83,1,1,5.8,2536,1.8,1,10,7,9,0
25,1,187,109,87,3,3,6.5,2952,2.6,1,9,2,5,0
41,0,182,134,123,3,2,7.2,3734,1.6,0,3,7,9,1
28,1,172,98,91,2,1,6.5,2663,2.3,1,4,9,2,0
34,0,170,117,107,1,1,6.9,2922,4.2,1,3,4,5,0
25,1,185,106,82,2,2,5.9,2802,2.8,0,9,5,7,0
52,1,175,89,69,1,1,8.2,1860,1.7,0,5,5,8,1
52,0,183,112,104,4,6,5.5,3361,3.4,0,10,2,5,0
50,0,190,128,105,4,4,6.2,4001,4.4,1,8,3,9,0
22,1,191,116,110,1,0,6.6,2923,2.9,1,8,10,3,0
59,1,166,85,77,1,0,6.1,1955,3.4,0,9,1,8,1
56,1,162,75,69,4,4,6.0,2499,4.3,1,10,3,9,0
58,0,165,81,70,2,2,7.0,2131,2.8,0,7,5,7,1
45,0,185,124,105,4,4,7.4,3727,3.5,0,3,9,5,1
24,1,169,90,69,2,1,7.6,2525,2.8,0,5,1,9,0
26,0,161,69,51,2,1,7.3,1823,4.4,1,3,6,8,1
25,1,158,69,54,4,5,7.3,2362,3.0,0,2,2,8,1
29,0,168,88,67,4,5,7.0,2874,4.2,0,3,6,6,1
